,net_worth_billions,age,clusters
1033,12.4,75.0,3
1034,12.2,55.0,0
1035,11.4,0.0,1
1036,11.2,84.0,3
1037,10.6,37.0,1
1038,10.4,72.0,3
1039,10.4,65.0,0
1040,10.4,67.0,0
1041,10.0,67.0,0
1042,9.8,42.0,1
1043,9.3,80.0,3
1044,9.2,68.0,0
1045,9.1,51.0,1
1046,8.9,80.0,3
1047,8.7,52.0,1
1048,8.6,56.0,0
1049,8.5,36.0,1
1050,8.4,60.0,0
1051,8.1,42.0,1
1052,8.0,60.0,0
1053,8.0,77.0,3
1054,7.8,73.0,3
1055,7.7,74.0,3
1056,7.7,76.0,3
1057,7.7,63.0,0
1058,7.6,68.0,0
1059,7.6,53.0,1
1060,7.4,38.0,1
1061,7.1,66.0,0
1062,7.0,73.0,3
1063,6.9,68.0,0
1064,6.8,73.0,3
1065,6.7,58.0,0
1066,6.5,38.0,1
1067,6.4,79.0,3
1068,6.3,76.0,3
1069,6.2,53.0,1
1070,6.1,0.0,1
1071,6.0,46.0,1
1072,6.0,86.0,3
1073,6.0,60.0,0
1074,5.9,54.0,0
1075,5.9,77.0,3
1076,5.8,70.0,3
1077,5.6,39.0,1
1078,5.6,0.0,1
1079,5.5,75.0,3
1080,5.4,60.0,0
1081,5.3,76.0,3
1082,5.2,64.0,0
1083,5.2,60.0,0
1084,5.1,40.0,1
1085,5.0,52.0,1
1086,4.9,61.0,0
1087,4.9,61.0,0
1088,4.9,73.0,3
1089,4.9,43.0,1
1090,4.8,38.0,1
1091,4.7,67.0,0
1092,4.6,46.0,1
1093,4.6,58.0,0
1094,4.6,49.0,1
1095,4.6,80.0,3
1096,4.6,75.0,3
1097,4.5,68.0,0
1098,4.5,93.0,3
1099,4.5,71.0,3
1100,4.4,56.0,0
1101,4.4,57.0,0
1102,4.4,58.0,0
1103,4.4,39.0,1
1104,4.4,68.0,0
1105,4.2,78.0,3
1106,4.2,81.0,3
1107,4.1,38.0,1
1108,4.0,78.0,3
1109,4.0,71.0,3
1110,4.0,61.0,0
1111,4.0,68.0,0
1112,4.0,63.0,0
1113,4.0,63.0,0
1114,3.9,63.0,0
1115,3.8,0.0,1
1116,3.8,47.0,1
1117,3.8,61.0,0
1118,3.8,73.0,3
1119,3.7,50.0,1
1120,3.7,66.0,0
1121,3.7,77.0,3
1122,3.6,78.0,3
1123,3.6,66.0,0
1124,3.6,40.0,1
1125,3.5,73.0,3
1126,3.5,64.0,0
1127,3.5,38.0,1
1128,3.4,62.0,0
1129,3.4,63.0,0
1130,3.3,35.0,1
1131,3.3,54.0,0
1132,3.3,59.0,0
1133,3.3,46.0,1
1134,3.2,51.0,1
1135,3.2,78.0,3
1136,3.2,36.0,1
1137,3.2,72.0,3
1138,3.2,65.0,0
1139,3.1,84.0,3
1140,3.1,70.0,0
1141,3.0,0.0,1
1142,3.0,63.0,0
1143,3.0,61.0,0
1144,3.0,59.0,0
1145,3.0,76.0,3
1146,3.0,62.0,0
1147,3.0,81.0,3
